,precision,recall,f1-score,support
Dark Coffee,0.7222222222222222,1.0,0.8387096774193548,13.0
Extra Dark Coffee,1.0,0.7222222222222222,0.8387096774193548,18.0
Light Coffee,1.0,1.0,1.0,14.0
Medium Coffee,1.0,1.0,1.0,16.0
accuracy,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.9180327868852459
macro avg,0.9305555555555556,0.9305555555555556,0.9193548387096774,61.0
weighted avg,0.9408014571948997,0.9180327868852459,0.9180327868852459,61.0
